,Unnamed: 0,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Income,Entertainment,Transfer,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
10,10,6295fed1-d412-49eb-93a3-9ca031632840,30,Group,Etobicoke,43.63770842,-79.49353779,fulltime,22562.76,146,16,6,57,14,25,15,7,6,14,7,0,0,15524.83
11,11,64b0c7d0-ebef-40e0-8d86-f8c681c95c7b,20,With Parent,Scarborough,43.7400481,-79.27395877,parttime,10796.94,112,16,0,33,12,0,0,0,0,0,0,0,0,13356.72
12,12,72da45bc-6a77-4f2c-aa61-a7c52790bc11,29,Group,North York,43.70640268,-79.44657787,fulltime,20321.07,147,15,7,69,18,40,22,10,5,0,4,0,0,13745.38094
13,13,810098e1-03ba-462f-a31f-6624e8fd7d11,47,Group,North York,43.78061103,-79.40412837,fulltime,40353.5,150,15,7,45,14,19,17,9,0,13,0,0,0,39180.76
14,14,7240ec73-795e-4181-8ad8-d16461b0e946,24,Group,Scarborough,43.80205988,-79.14501241,parttime,18188.61,147,16,6,59,14,34,14,8,0,0,0,7,0,8895.25
15,15,ed627e35-1194-4db5-a6e2-f5a0e89852e9,18,With Parent,Etobicoke,43.63750055,-79.51059729,unemployed,0,98,1,0,30,9,0,0,0,0,0,0,0,0,100.08
16,16,cc9c808f-2483-4ac0-8182-becba5831e3a,32,With Parent,Etobicoke,43.64016908,-79.54558629,unemployed,0,119,0,0,35,13,0,0,0,0,0,6,0,0,3898.054905
17,17,c8f99b7e-7c72-4ece-bbad-3db63cbccdfb,42,Group,Toronto,43.67031647,-79.48207725,fulltime,71309.7,145,15,7,46,8,27,23,11,0,0,0,7,0,56350.72
18,18,dcef715b-4a04-428d-b497-cbb5239123a7,32,Group,North York,43.76582039,-79.38614841,fulltime,81731,148,15,6,58,145,26,16,10,6,0,7,0,0,79988.33
19,19,03c47460-b23e-407a-8628-04c125602636,17,With Parent,Toronto,43.63657933,-79.47093754,unemployed,0,108,1,0,30,7,0,0,0,0,0,0,0,0,99.08
20,20,068405d4-a84d-4866-9126-0a747030b37c,19,With Parent,Toronto,43.64724304,-79.40775183,unemployed,0,109,1,0,31,9,0,0,0,0,0,0,0,0,76.95
21,21,34058b1c-9db5-4eb6-8f94-4605effd5fda,64,With Parent,Toronto,43.67257603,-79.41339357,fulltime,53366.25,112,16,0,45,7,0,0,0,0,0,0,0,0,61878.56
22,22,c367465d-86c2-46d3-89a8-93545a09f08c,18,With Parent,Toronto,43.67547654,-79.43014312,unemployed,0,100,1,0,30,11,0,0,0,0,0,0,0,0,67.54
23,23,41ebf205-5ace-45b8-8322-7f0b2bcffe87,32,With Parent,Toronto,43.7310208,-79.404151,fulltime,108689,114,15,0,45,12,0,0,0,1,0,0,0,0,127067.56
24,24,a6b0d4ad-2989-49b8-b597-7755ffa5c1f7,27,With Parent,York,43.66514554,-79.49173526,parttime,13123.11,120,16,0,44,12,0,0,0,0,0,0,0,0,15622.59
25,25,d51555d5-d637-47d6-9a09-b17580eefaa6,60,Group,Toronto,43.67958214,-79.30500862,fulltime,93365.05,139,15,7,60,7,33,16,9,5,0,0,0,0,85275.37
26,26,bd5f6e2f-a918-4edf-a43e-c11ea617a373,15,With Parent,North York,43.72330019,-79.52093413,unemployed,0,101,0,0,31,6,0,0,0,0,0,0,0,0,137.68
27,27,f2577e82-68b5-447d-babe-80adad8cc344,50,Group,Scarborough,43.79857406,-79.30512678,fulltime,68995.3,148,16,5,45,136,32,24,10,0,0,0,7,0,71661.14
28,28,64dd431b-5749-4874-8b15-291ae2be25f8,53,With Parent,York,43.69159129,-79.43788307,fulltime,47776.75,107,16,0,44,6,0,0,0,0,0,0,0,0,55140.49
29,29,418d52c8-c84c-42bf-8741-21b4b84ef02a,26,With Parent,Scarborough,43.80019722,-79.1393031,fulltime,26542.56,118,15,0,45,15,0,0,0,1,0,0,0,0,31151.24
30,30,b77d98b6-0dce-484b-8d99-736285033249,20,With Parent,Toronto,43.64284145,-79.43781365,parttime,8930.79,118,15,0,33,12,0,0,0,0,0,0,0,0,10635.05
31,31,fcedcfc6-5ce9-43b8-9659-1f312df562d8,17,With Parent,Scarborough,43.75651513,-79.21433952,unemployed,0,106,0,0,31,5,0,0,0,0,0,0,0,0,83.35
32,32,46e39bdd-1645-4162-9b56-af97c591747c,22,With Parent,North York,43.75335063,-79.39016354,parttime,19330.41,108,16,0,43,15,0,0,0,1,0,0,0,0,22854.22
33,33,571f570b-a8d3-450b-9dd0-e7da884de151,75,Group,Toronto,43.6729855,-79.3304014,unemployed,37412.9,147,31,6,45,142,25,22,10,0,0,0,7,0,35816.96
34,34,4ab0aee3-74e0-48b4-a78b-c34dc29c4d57,24,With Parent,Etobicoke,43.66087836,-79.57301545,parttime,14258.31,117,15,0,45,14,0,0,0,0,0,0,0,0,17075.79
35,35,fa4ff053-8f12-4cc1-a2e6-3558e16b6a44,89,Group,North York,43.78472502,-79.33881252,unemployed,21704.2,40,16,5,49,2,39,16,7,1,20,2,7,0,10003.26
36,36,5abc44e3-52d6-4d52-abec-58183117f440,30,With Parent,Toronto,43.70056262,-79.39474903,parttime,7256.04,118,16,0,44,10,0,0,0,0,0,0,0,0,7473.23
37,37,119dc9cd-bfc4-40f2-a128-b1cf7c722c8e,25,Group,North York,43.77522185,-79.33553694,parttime,11649.33,151,16,5,44,140,27,12,7,0,0,0,7,0,7887.86
38,38,5f7db50e-1210-4d5f-818d-4accefc7ce61,29,With Parent,Etobicoke,43.68128941,-79.57261234,parttime,9618.18,109,15,0,45,14,0,0,0,0,0,0,0,0,11596.89
39,39,bc378f13-95fd-4e93-a292-5521489270dd,64,Group,Toronto,43.66649934,-79.34135406,fulltime,41941.55,146,15,6,58,7,34,9,10,6,0,0,0,0,23568.22
40,40,a1db3c5c-ba11-44a8-8fda-c6a822cfeeeb,58,Group,York,43.65325041,-79.48729227,fulltime,75540.05,141,15,6,45,139,34,15,12,0,13,0,7,0,60040.55
41,41,ab99810e-8792-4e9e-bd28-e876f895469c,34,With Parent,North York,43.79560241,-79.38984955,unemployed,0,119,0,0,31,11,0,0,0,0,0,6,0,0,3414.018965
42,42,a33826ab-81d0-48e4-be07-1ce91775492c,19,Group,North York,43.74073228,-79.39706242,unemployed,0,106,0,0,64,13,0,0,0,2,0,0,0,0,110.39
43,43,0c400962-1f52-4210-a77d-d195e1810886,40,Group,Scarborough,43.75260084,-79.19826513,fulltime,110778,148,15,7,58,10,27,11,12,6,0,0,0,0,98337.1
44,44,cd74b26d-f9a6-40f5-b715-e2a4bbd8b437,50,Group,Etobicoke,43.64478334,-79.50725952,fulltime,92163.5,138,16,7,45,7,41,17,11,0,0,0,7,0,79528
45,45,86f99150-14ef-4029-b30f-122b3f8ffa48,23,With Parent,Toronto,43.70497393,-79.42767967,parttime,18342.72,115,16,0,45,9,0,0,0,0,0,0,0,0,21435.01
46,46,1d6a1542-781a-4742-b186-2261f0dd5bc5,26,With Parent,North York,43.71120266,-79.42852827,unemployed,0,120,0,0,32,12,0,0,0,1,0,6,0,0,2602.326818
47,47,45ca04ce-c599-44ab-8d13-07c85be63a3f,54,Group,North York,43.7579449,-79.49398803,fulltime,35506.25,144,15,6,59,138,40,16,9,5,0,0,0,0,19357.24
48,48,78d86aaf-a3f2-44d4-8f27-10b4bc99700e,53,Group,Toronto,43.63446278,-79.42701875,fulltime,37887.9,144,15,6,60,135,41,16,9,6,0,2,0,0,20296.35906
49,49,78804f23-65ff-485f-8299-4899f6f003fe,41,Group,Toronto,43.70099298,-79.41949962,fulltime,88398,145,16,8,59,8,28,14,10,5,0,0,0,0,72576.57
50,50,862df0d6-86e7-481f-b8e2-c2de8d8e97b3,67,Group,North York,43.76924676,-79.51961621,parttime,17567.4,145,15,6,57,7,28,19,6,2,0,0,7,0,8696.07
51,51,eccc8f97-5987-4c3d-ba64-c39b63e083ab,46,Group,Toronto,43.65676203,-79.42574702,fulltime,63245.6,141,17,5,57,10,39,14,10,5,0,0,0,0,53023.6
52,52,9a31aeb9-e2f1-4f7e-83a4-a294de914920,27,With Parent,North York,43.77007404,-79.34427235,parttime,8376.39,118,15,0,45,12,0,0,0,1,0,0,0,0,9411.21
53,53,351cd71e-9875-4585-99eb-963aa9c2bc8a,44,Group,Toronto,43.67176036,-79.38592999,fulltime,119205.9,149,15,7,44,18,25,14,10,1,0,0,7,0,128725
54,54,4e1a4a81-8fd8-4a0d-ac00-ba31894cc7dd,27,With Parent,North York,43.76896934,-79.35439162,parttime,15427.17,122,15,0,44,12,0,0,0,1,0,0,0,0,18431.82
55,55,61c02283-2817-46fc-b511-e3e4e9fa6082,55,Group,Scarborough,43.81292955,-79.23329593,fulltime,38896.45,139,15,7,59,6,40,18,9,5,0,0,0,0,26609.15
56,56,0e10b2e8-77be-4edb-968d-c320fa81e2fe,55,Group,Toronto,43.67547654,-79.43014312,fulltime,146833.15,149,15,7,45,8,12,13,11,0,0,0,0,0,162877.46
57,57,0907eac3-c961-4c61-a553-c94bd56c8f6c,28,With Parent,Etobicoke,43.68968809,-79.52760954,parttime,17307.18,109,16,0,44,13,0,0,0,0,0,0,0,0,19745.78
58,58,f4296e24-6389-488c-baed-01a6005ef809,51,With Parent,Toronto,43.63815316,-79.4373956,parttime,26669.5,116,15,0,46,9,0,0,0,0,0,0,0,0,29871.76
59,59,c2db251f-45e2-4a5d-a4b4-af181407b712,20,With Parent,Scarborough,43.80294305,-79.1725871,fulltime,33647.79,139,16,7,75,14,29,17,9,5,0,0,0,0,16105.36
60,60,33e2098a-f1a6-4ce4-b133-ca326c32ee19,33,With Parent,Scarborough,43.75523891,-79.17987322,fulltime,49315,123,15,0,45,10,0,0,0,0,0,0,0,0,57058.07
61,61,e63bf0b3-d771-4b03-8500-01e031e04170,18,With Parent,Toronto,43.65401515,-79.43824377,unemployed,0,114,1,0,30,11,0,0,0,0,0,0,0,0,285.87
62,62,3c74bbf2-f457-411d-8363-3732e0f30f40,29,With Parent,North York,43.74884673,-79.49617385,parttime,13705.56,111,16,0,44,12,0,0,0,0,0,0,0,0,15286.4
63,63,9bd37532-ced0-4f2b-a695-a62a9de860ab,50,Group,York,43.67286375,-79.49166508,unemployed,0,110,0,0,0,8,0,0,0,0,0,6,0,0,2807.317123
64,64,0d8441bf-11f5-4d36-b44b-b31eca1dc568,26,With Parent,Etobicoke,43.63416944,-79.51470691,fulltime,20497.29,119,15,0,45,15,0,0,0,0,0,0,0,0,24144.33
65,65,65214b19-ef67-41dd-b1f9-1a1c6dc98ed8,22,With Parent,Toronto,43.66640598,-79.43925362,parttime,10153.11,113,15,0,45,12,0,0,0,0,0,0,0,0,12077.99
66,66,0dbfe1ad-b5f2-4cc8-926a-aae493e75869,18,With Parent,North York,43.73171623,-79.34140891,unemployed,0,109,1,0,30,7,0,0,0,0,0,0,0,0,84.59
67,67,7e496ca3-9b81-41f2-ba3a-3c40d8c6170e,36,Group,York,43.68846423,-79.43492867,fulltime,75736,140,16,7,57,10,33,16,9,6,0,0,0,0,69141.6
68,68,76538631-8b83-4e73-9d46-33c4041c67a8,77,Group,York,43.69159129,-79.43788307,unemployed,27153,144,30,7,60,5,34,11,8,6,0,2,0,0,14118.08736
69,69,af275919-9183-495b-874e-4fe3dfe2b0a7,25,With Parent,Toronto,43.69178664,-79.4172735,fulltime,30356.37,119,16,0,43,13,0,0,0,1,0,0,0,0,35596.31
70,70,032ba6ff-98d3-4d11-837b-800fefa5182e,41,Group,Etobicoke,43.65959878,-79.51917052,fulltime,150060,146,17,7,43,10,19,14,12,0,0,0,0,0,165783.88
71,71,08d3df08-8f42-453c-be71-9bc694dac404,20,With Parent,Toronto,43.68667845,-79.40465859,fulltime,21999.12,115,15,0,32,12,0,0,0,1,0,0,0,0,26100.59
72,72,53e6c824-f20c-4f17-89c2-be585dcca34f,22,With Parent,Scarborough,43.82572095,-79.22950998,parttime,14987.61,111,15,0,44,14,0,0,0,1,0,0,0,0,18063.84
73,73,fb16301a-ad45-46ef-a108-99b263fbf5b6,68,Group,North York,43.74579422,-79.51346899,parttime,25333.65,143,16,4,78,5,33,20,8,5,0,4,0,0,14754.7089
74,74,ae820d82-866b-4335-b111-6ba957b85d74,44,Group,East York,43.70891356,-79.29826425,fulltime,59482.5,152,15,7,58,10,33,15,11,6,0,0,0,0,38729.92
75,75,39719984-6e53-46b9-b7bb-a2be47e909b2,23,Group,Scarborough,43.80998698,-79.26505899,parttime,8922.54,145,15,7,90,12,27,18,10,5,0,6,0,0,7001.262847
76,76,fab9ccfb-2ec8-4c22-bcf2-3d7b6085f56b,22,With Parent,Etobicoke,43.60270761,-79.49683845,parttime,15247.32,109,15,0,45,15,0,0,0,0,0,0,0,0,17792.3
77,77,21c8efc9-bdc1-4031-9b45-5b908c7bcc5e,33,Group,North York,43.72965824,-79.41877308,fulltime,172835,157,15,8,45,15,20,19,11,0,0,0,7,0,191223.83
78,78,f24ab317-f23c-4f69-aa2c-d9d936f65068,27,Group,Toronto,43.70257671,-79.4383003,fulltime,24971.1,151,16,7,58,14,26,13,8,5,12,7,0,0,19487.55
79,79,3447d25a-8c12-4e51-8f31-2642e190523f,20,With Parent,Toronto,43.67031647,-79.48207725,unemployed,0,107,0,0,32,13,0,0,0,0,0,0,0,0,179.83
80,80,3f91aeda-2174-42e1-9883-8ed1f259ded8,54,Group,Toronto,43.659962,-79.45459517,fulltime,45786.1,141,15,5,45,6,12,17,8,0,13,0,0,0,47720.76
81,81,cb8ee12a-50c9-4a85-a95a-0a62aadc5bf5,57,Group,Scarborough,43.81554581,-79.1989964,fulltime,50939.25,141,16,6,44,7,33,18,9,0,13,0,7,0,32292.56
82,82,0c429b11-a7d3-4896-b64b-f5322495c024,27,Group,Toronto,43.67265112,-79.38873202,fulltime,32440.65,143,16,5,58,143,32,20,10,5,0,7,0,0,24092.51
83,83,2c5dec05-5ee8-4d18-b366-08ed375d1235,79,Group,Etobicoke,43.64294753,-79.53704108,unemployed,26725.3,147,31,7,55,4,33,14,8,0,7,0,7,0,13821.89
84,84,78d05dc3-41e9-4c3d-a851-2d3ab89dfd82,30,Group,Toronto,43.67215788,-79.34750639,fulltime,46208.91,152,15,7,60,13,34,14,9,5,0,0,0,0,34544.9
85,85,a72d69c6-734a-413d-a864-79cae0dbc690,38,Group,North York,43.70284498,-79.4891123,fulltime,45059,146,15,7,58,9,33,13,8,7,15,0,0,0,22803.82
86,86,df7b2d31-0a3e-46a9-81c3-5d6c35cffdc2,24,With Parent,Toronto,43.67338155,-79.30822059,fulltime,25251.27,120,16,0,45,12,0,0,0,0,0,0,0,0,30007.52
87,87,26dfddf9-6059-434c-be13-cc172eb14f0a,58,Group,Toronto,43.67709588,-79.44380978,fulltime,51184.2,149,16,7,44,8,18,28,11,0,0,0,0,0,52373.8
88,88,9d045858-3d00-4ce8-99f5-c5eb2a67be60,47,Group,North York,43.76432953,-79.32381539,fulltime,117744,142,15,7,59,10,27,23,10,6,0,0,0,0,104683.47
89,89,5afe49ac-b949-4b70-9b14-bf8a65369348,47,Group,York,43.66106276,-79.49446132,fulltime,35941.4,142,16,6,57,9,27,13,8,6,13,1,0,0,18260.32407
90,90,a4e510d5-0bfb-424e-adda-f47ced75843d,43,Group,Scarborough,43.79613672,-79.14180966,fulltime,60238.2,141,17,7,57,10,34,22,11,5,0,0,0,0,42121.74
91,91,5c2536d4-a31f-472d-92d9-44d180bb68f7,22,With Parent,Scarborough,43.74186635,-79.21156342,parttime,13734.6,112,15,0,43,13,0,0,0,2,0,0,0,0,16470.99
92,92,18f21809-8261-4af8-bcbe-e8a7a063d159,32,With Parent,Toronto,43.71499056,-79.40357817,fulltime,39476,113,16,0,45,13,0,0,0,0,0,0,0,0,46063.52
93,93,49fc41e0-9a19-43cb-bcd2-6e9e73bbd46f,63,Group,Toronto,43.6375103,-79.40058038,parttime,16209.85,145,15,6,56,7,20,12,9,6,0,9,0,0,9201.667947
94,94,620a8b47-3eb6-4468-ae21-a929bd1bfd6d,57,Group,Toronto,43.65731662,-79.38347914,fulltime,39509.4,141,15,6,44,7,18,19,7,1,0,0,0,0,40745.22
95,95,b54d04c9-dcc2-4aa1-8b63-6cfc35a525fc,26,Group,Toronto,43.63780428,-79.4273146,parttime,13135.65,145,16,5,45,13,19,15,7,0,0,0,0,0,9819.02
96,96,ce8fcbf6-9627-4f33-9601-2a0d8655cd31,22,With Parent,Toronto,43.67893136,-79.31349099,parttime,17214.45,113,16,0,45,14,0,0,0,0,0,0,0,0,20132.73
97,97,11da9930-f457-4233-80a0-1e1313d548fa,25,With Parent,North York,43.77587157,-79.41730209,parttime,7682.73,120,17,0,44,12,0,0,0,0,0,0,0,0,9064.55
98,98,733dfa56-4166-4c19-abf4-88d262bc6f3d,30,Group,Scarborough,43.81065496,-79.32161551,parttime,19186.86,151,15,6,91,14,27,19,8,6,0,5,0,0,12677.36508
99,99,20c377ea-991a-4862-b0e2-defdb41e3df7,58,Group,Toronto,43.65981288,-79.3512092,fulltime,48118.3,143,15,7,44,7,33,17,8,1,0,0,7,0,31116.45
100,100,0506a85f-ac10-464a-89c0-ae34e3969cfe,48,Group,North York,43.79556749,-79.39858528,parttime,34622.5,137,15,7,46,145,26,14,9,0,15,0,0,0,31169.56
101,101,f77df7b8-00f6-43f1-885d-cfd4dc3088bf,37,With Parent,North York,43.7862998,-79.41783064,fulltime,29080,115,16,0,45,8,0,0,0,0,0,0,0,0,33082.67
102,102,2618bf65-2d57-4371-b6da-49832db779d8,55,Group,Scarborough,43.77403213,-79.25800983,fulltime,64679.45,147,16,5,58,7,39,18,10,5,0,0,0,0,50720.43
103,103,32944576-bf48-4861-b09a-6027139f7c52,73,Group,Scarborough,43.81915287,-79.28226899,unemployed,61219.9,146,31,7,58,6,33,13,8,5,13,0,0,0,45571.89
104,104,2595716b-2b8f-420e-9fed-ab081a03cfb2,49,Group,North York,43.77467439,-79.34185551,unemployed,0,116,0,0,0,7,0,0,0,0,0,6,0,0,2696.146343
105,105,d7812942-3eb3-4a64-832a-108a6e4affb0,34,Group,Scarborough,43.77968455,-79.15145538,fulltime,135173,147,15,8,44,16,33,26,12,1,0,0,7,0,130620.62
106,106,a80a0523-0e3d-4f01-9cca-efcd063a0b2e,16,With Parent,Scarborough,43.77403213,-79.25800983,unemployed,0,109,0,0,31,10,0,0,0,0,0,0,0,0,78.96
107,107,69ca6ebc-1c11-4efb-b765-4935e0a96b7c,21,Group,Toronto,43.68063094,-79.45816145,parttime,10761.96,143,15,7,94,12,33,19,10,5,0,6,0,0,7952.772067
108,108,a8b607df-ac23-4499-8046-bd472ebaac36,27,Group,Etobicoke,43.60002283,-79.54568127,parttime,16859.04,150,15,6,90,19,46,16,9,5,0,6,0,0,13219.02746
109,109,da9bea25-d7e7-4ee0-b204-87cff9efa441,58,Group,Toronto,43.66661224,-79.30310712,fulltime,72103.85,147,16,7,59,9,28,24,10,5,0,0,0,0,60882.69
110,110,ccaf0a46-2eb5-4b73-8f5b-b0ce96f5bf3a,29,With Parent,North York,43.79556749,-79.39858528,parttime,9943.23,120,15,0,46,13,0,0,0,0,0,0,0,0,11363.19
111,111,a15f6de8-6744-453c-ad88-449ba60c03b3,25,With Parent,Toronto,43.66933795,-79.40208461,fulltime,25450.59,117,16,0,44,14,0,0,0,0,0,0,0,0,29861.72
112,112,d9aa0d6d-ef36-4940-9dd7-383675dd266d,26,Group,Toronto,43.66629676,-79.47270901,parttime,15923.16,157,15,6,45,144,19,24,9,1,0,0,0,0,11094.46
113,113,8d797f09-4066-4170-adab-931a2b004489,46,With Parent,North York,43.74398862,-79.49417373,parttime,28057.7,108,16,0,45,9,0,0,0,0,0,0,0,0,32618.28
114,114,1ed4bf97-e3c8-44c8-9828-fbc685551fd3,83,Group,Toronto,43.71485018,-79.39931647,unemployed,34763.4,137,30,8,69,135,39,22,12,5,7,2,0,0,19916.90879
115,115,1d0187d6-af7f-401c-b7be-ac073231a4ba,54,Group,North York,43.79531378,-79.3545517,fulltime,86168.35,146,16,6,44,5,19,12,8,0,0,0,0,0,92963.57
116,116,5e2b3466-0585-4360-b73b-82f497c929cf,39,With Parent,Etobicoke,43.59096886,-79.53685719,fulltime,48711,111,16,0,44,8,0,0,0,0,0,0,0,0,56530.19
117,117,290a8546-c0d9-4dde-902f-e77d1eb67cf0,57,With Parent,North York,43.7888662,-79.4463492,parttime,29569.95,114,15,0,44,5,0,0,0,1,0,0,0,0,34203.74
118,118,6a6954c6-8e33-4298-a37c-cc5c7a266d3e,20,With Parent,Scarborough,43.74360962,-79.26688296,parttime,11816.31,117,16,0,32,14,0,0,0,0,0,0,0,0,13977.9
119,119,794543fb-86a9-402e-8541-72f00f6e7835,65,Group,Scarborough,43.80072748,-79.27817021,fulltime,35281.1,141,15,6,45,12,26,25,9,1,13,0,0,0,32307.04
120,120,9a9c7dc8-72b0-423d-8776-998b27de6609,20,With Parent,Toronto,43.63780428,-79.4273146,unemployed,0,113,0,0,32,13,0,0,0,0,0,0,0,0,267.31
121,121,fa669514-2582-4611-9ecb-39585ee1a790,50,Group,Toronto,43.67006202,-79.31077827,fulltime,150609.8,139,17,6,58,12,28,13,10,5,0,0,0,0,143146.58
122,122,c5d0869c-5ae2-40fd-91d3-a83255313ccd,28,Group,Etobicoke,43.65862942,-79.58477059,parttime,15288.57,148,16,7,74,13,33,27,9,5,0,5,0,0,10068.92229
123,123,33df7fac-6060-4198-835e-d8a8dbd7cb20,22,With Parent,Toronto,43.66003929,-79.35006703,fulltime,25495.8,147,15,6,74,14,33,18,8,0,0,0,4,0,14196.71
124,124,8ed0617a-32bc-42d2-bcaf-0be8ab31046f,27,With Parent,Toronto,43.63446278,-79.42701875,parttime,9311.28,117,16,0,43,12,0,0,0,1,0,0,0,0,10760.77
125,125,51a1f72d-28da-4be9-b361-2dffad4db03a,18,With Parent,Scarborough,43.71306377,-79.29624045,unemployed,0,96,0,0,32,12,0,0,0,0,0,0,0,0,58.15
126,126,1ff2784b-2694-4996-a626-c3ae4c86aaf6,90,Group,Etobicoke,43.64477862,-79.53029553,unemployed,35840,37,16,6,59,3,25,24,10,6,6,7,0,0,35411.99
127,127,ef97b69c-7381-4c8c-a53d-df724443ad6a,21,With Parent,Scarborough,43.78545286,-79.18529773,parttime,15609,116,15,0,44,13,0,0,0,1,0,0,0,0,18174.57
128,128,e0a7aaaa-6b20-4c9e-94ed-7e5f463e723d,28,Group,Scarborough,43.7400481,-79.27395877,parttime,11911.68,151,17,7,89,151,41,22,8,5,13,6,0,0,10720.09786
129,129,291746ab-0833-42bb-9795-50c119200374,59,Group,North York,43.76896934,-79.35439162,fulltime,49008.4,145,16,7,58,7,27,14,9,5,0,0,0,0,31123.18
130,130,a9f2d369-d187-4416-9a5a-f92f84d618e4,26,With Parent,Toronto,43.66467674,-79.32788489,parttime,15483.93,120,16,0,44,14,0,0,0,0,0,0,0,0,17527.63
131,131,4a15a103-7fcd-42bd-a196-6de9e9de5f67,30,With Parent,North York,43.7377481,-79.51131519,fulltime,25589.19,156,15,5,81,12,25,16,8,2,0,2,0,0,14046.08084
132,132,2512c951-880b-4f39-9501-141f36cd1508,91,Group,Scarborough,43.71107565,-79.27059519,unemployed,31814.3,39,16,6,77,4,27,23,9,5,21,3,0,0,29307.74
133,133,61a2c2aa-d467-4561-87ac-a4c615ba23c1,17,With Parent,Scarborough,43.79833851,-79.17720827,unemployed,0,113,0,0,30,8,0,0,0,1,0,0,0,0,145.46
134,134,4d7e218a-296a-47cf-99c9-4370660ffd45,34,Group,North York,43.73171623,-79.34140891,fulltime,72016,144,15,7,45,15,36,15,10,0,0,0,7,0,57799.39
135,135,bdcedc45-27e4-42ae-a3f8-17c3be5b086e,25,Group,Toronto,43.67454626,-79.37259624,fulltime,37496.25,152,15,7,58,13,39,14,9,6,14,0,0,0,21698.92
136,136,0d38dc52-2187-482c-890d-90f3484b2d3e,43,Group,North York,43.79491719,-79.43028712,parttime,33145.2,143,15,6,61,10,27,15,5,6,0,2,0,0,17447.12421
137,137,8a47565f-aa9c-419e-9ea4-41da0ffb4b0f,17,With Parent,Toronto,43.67164707,-79.35355541,unemployed,0,97,1,0,30,5,0,0,0,0,0,0,0,0,88.95
138,138,824bb9f0-b72c-4c3b-a245-25fd739651d4,16,With Parent,North York,43.72965824,-79.41877308,unemployed,0,88,0,0,31,8,0,0,0,0,0,0,0,0,136.63
139,139,be78b0b4-047f-4712-87a8-a46d01e9f4fd,18,With Parent,Etobicoke,43.63770842,-79.49353779,unemployed,0,110,0,0,31,14,0,0,0,0,0,0,0,0,138.71
140,140,83746758-8e11-4005-b2b0-49c702dd8e75,55,Group,Toronto,43.65112974,-79.45202577,fulltime,55887.7,141,15,7,45,7,12,20,9,0,0,0,0,0,58945.36
141,141,10ff2020-19b6-49e6-829e-caac71660478,27,With Parent,Toronto,43.659962,-79.45459517,parttime,18115.02,118,15,0,44,11,0,0,0,1,0,0,0,0,20934.11
142,142,85f3fad3-0494-41d0-b0af-0db2a57ed4e7,26,With Parent,Etobicoke,43.74418751,-79.59824195,parttime,11231.55,118,16,0,44,11,0,0,0,0,0,0,0,0,13471.33
143,143,abc1a214-a145-456b-9e83-c8f2ffc0773b,21,With Parent,North York,43.79180281,-79.44348741,parttime,9305.34,118,15,0,33,11,0,0,0,0,0,0,0,0,11478.33
